Year HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.sd.1 HCFC141B.sd.2 HCFC141B.sd.3 HCFC141B.sd.4 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.sd.1 HFC134A.sd.2 HFC134A.sd.3 HFC134A.sd.4 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.sd.1 N2O.sd.2 N2O.sd.3 N2O.sd.4 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.sd.1 SF6.sd.2 SF6.sd.3 SF6.sd.4 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.sd.1 CFC11.sd.2 CFC11.sd.3 CFC11.sd.4 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.sd.1 CFC12.sd.2 CFC12.sd.3 CFC12.sd.4 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.sd.1 HCFC22.sd.2 HCFC22.sd.3 HCFC22.sd.4
1978.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.051 299.315 299.755 300.695 0.36334 0.464251 0.290705 0.28328 NA NA NA NA NA NA NA NA 156.675 149.662 140.809 148.631 0.960783 0.928502 2.02524 0.20318 286.969 281.155 257.613 255.173 1.26492 3.27097 6.68621 0.555814 NA NA NA NA NA NA NA NA
1978.458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 300.749 299.058 299.578 300.733 0.223129 0.280436 0.62986 0.0478645 NA NA NA NA NA NA NA NA 157.647 150.509 141.757 149.915 1.07713 1.20187 1.30817 0.20318 288.808 282.468 258.811 255.407 1.26492 3.98737 6.01759 0.555814 NA NA NA NA NA NA NA NA
1978.542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 300.609 299.357 299.212 300.519 0.28553 0.4996 0.326235 0.0556791 NA NA NA NA NA NA NA NA 158.6 151.415 142.681 151.127 0.653053 2.22463 1.66671 0.20318 290.258 283.6 259.849 255.673 1.1794 6.12246 4.74818 0.555814 NA NA NA NA NA NA NA NA
1978.625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 300.768 299.955 298.82 300.258 0.260893 0.464251 0.452207 0.068073 NA NA NA NA NA NA NA NA 159.51 152.392 143.61 152.206 0.748195 2.15394 2.57758 0.414174 291.121 284.657 260.988 256.049 1.62913 2.8562 7.17072 0.555814 NA NA NA NA NA NA NA NA
1978.708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.19 300.378 298.548 299.977 0.127336 0.167319 0.813973 0.110381 NA NA NA NA NA NA NA NA 160.352 153.411 144.589 153.103 0.712102 1.0699 2.01555 0.20318 291.44 285.618 262.356 256.583 1.30547 2.6064 7.10289 0.555814 NA NA NA NA NA NA NA NA
1978.792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.561 300.546 298.606 299.922 0.227395 0.0919075 0.274554 0.0688459 NA NA NA NA NA NA NA NA 161.087 154.388 145.608 153.801 0.477659 1.46109 2.79077 0.20318 291.309 286.35 263.886 257.29 1.58699 3.2474 3.45939 0.928962 NA NA NA NA NA NA NA NA
1978.875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.547 300.584 298.968 300.288 0.163041 0.322855 0.59756 0.119173 NA NA NA NA NA NA NA NA 161.689 155.226 146.663 154.318 0.304597 0.782392 1.74423 0.234438 290.844 286.951 265.494 258.186 2.6276 2.87034 6.25015 0.306724 NA NA NA NA NA NA NA NA
1978.958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.252 300.599 299.301 300.745 0.187495 0.252157 0.507118 0.0888912 NA NA NA NA NA NA NA NA 162.128 155.873 147.714 154.665 0.90764 0.923789 2.33533 0.0771693 290.229 287.575 267.132 259.321 1.57899 5.1374 7.04474 0.476691 NA NA NA NA NA NA NA NA
1979.042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.046 300.719 299.343 300.895 0.25763 0.247443 0.746142 0.150431 NA NA NA NA NA NA NA NA 162.389 156.363 148.658 154.86 0.486172 2.08324 2.33533 2.59152 289.805 288.391 268.691 260.653 1.61382 3.32281 4.21522 0.784392 NA NA NA NA NA NA NA NA
1979.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.04 300.911 299.183 300.788 0.229037 0.200311 0.232564 0.293048 NA NA NA NA NA NA NA NA 162.505 156.807 149.434 154.934 0.648469 1.44224 2.35471 1.33239 289.672 289.565 270.117 262.144 1.59321 3.10129 5.06795 0.362403 NA NA NA NA NA NA NA NA
1979.208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 301.162 301.024 298.991 300.611 0.414493 0.351134 0.403757 0.0692039 NA NA NA NA NA NA NA NA 162.58 157.341 150.05 154.936 1.45301 1.11232 3.4497 0.20318 289.787 291.26 271.449 263.906 1.59124 3.139 4.24429 0.555814 NA NA NA NA NA NA NA NA
